sub_id,sexo,talla_cm,masa_kg,r_crudo,rmse_crudo,rmsenorm_crudo,ganancia_b,offset_a,r_cal,rmse_cal,rmsenorm_cal
16,F,174,70.4743249550463,0.999525454819662,10.4635988817742,2.33367398106042,0.7568767561433,-11.7324399753799,0.999525454819662,6.85128472282892,1.17656033138991
17,M,185,81.1875898901702,0.995756567054539,13.3795093523535,3.09899364589254,0.758993244188521,-11.6554072912233,0.995756567054539,5.96105926115843,0.915151134760196
18,F,173.7,73.2929661628616,0.990636092269726,14.2220434414898,3.47964959821137,0.761875888539259,-11.6302047464022,0.990636092269726,4.57760370371826,0.966202065996215
19,F,169,63.2347601966772,0.968012146996949,13.0200286362958,2.90880727454521,0.766227220562481,-11.6978735075855,0.968012146996949,5.29316575619847,0.9250406308092
20,M,177,73.2688400668888,0.998336535531013,16.573846388329,3.90230871630677,0.759507296310025,-11.5803835118832,0.998336535531013,7.86701751098156,1.44593444136176
21,M,172.5,58.029067769687,0.997365590097239,14.3460798120299,3.31732288936868,0.758976837153024,-11.6329404395678,0.99736559009724,6.51202833893206,0.985288883655014
22,M,184.5,85.818703009347,0.992244809127247,14.1253673994082,3.36985009112825,0.76722048840169,-11.6655743883087,0.992244809127246,4.91332818146453,0.854376908320034
23,F,172.5,76.0650917394403,0.994349095708883,8.82353951604988,1.97818521499761,0.759663889166537,-11.7559981212397,0.994349095708883,4.6483915049618,1.0958223785243
25,M,178,80.1891395373311,0.980641687570328,15.1764236605171,3.55413476632651,0.767343130570286,-11.639454101712,0.980641687570327,5.54597899628944,1.00850177788904
26,M,175,81.4829453348938,0.988684044607583,10.9931392548209,2.51296302451011,0.764569534064681,-11.7261286520274,0.988684044607583,3.58539455949182,0.777317323341121
27,F,166.2,62.2313710239986,0.993555397187052,8.42893295494563,2.00806456611945,0.7630940316986,-11.7806263820374,0.993555397187052,4.48768216221984,1.02705613019111
28,M,172.5,103.593135418738,0.998977426582968,11.1996151778527,2.694584107341,0.759739228978921,-11.6972125144863,0.998977426582968,3.93064876745275,0.652350954318459
29,M,170,89.5211415177387,0.997651151831322,11.1691997100198,2.5507367197351,0.766524378374611,-11.7511362368119,0.997651151831322,5.54267619437232,0.937490580446574
30,M,174.5,68.8626160079028,0.98783924653025,11.8246210383645,2.71412254218714,0.765586758141567,-11.7150689149186,0.98783924653025,4.11817031485138,0.729720578349637
31,M,183,80.5796896442,0.998072974366349,13.6832760998937,3.29303266079557,0.760908560298977,-11.6391522103631,0.998072974366349,4.35418632379651,0.769576385041775
32,M,169,68.1462802193499,0.991046426840398,12.8498712870542,3.17343697278475,0.759500582158758,-11.6683293299865,0.991046426840398,5.51804697198882,0.947171690105501
33,F,161,76.3501879074856,0.995754464740921,17.88036678349,4.27742133101913,0.762076505927298,-11.5435265221434,0.995754464740921,7.78919974599158,1.58661251088141
34,M,171.5,75.2406914314951,0.997561578415229,10.9411184835238,2.65334764188839,0.762717238366979,-11.7054489687919,0.997561578415229,1.36297229696351,0.295785408725707
35,M,175.5,84.4622316298904,0.993942891056859,11.67405208009,2.84827191945641,0.763728650108203,-11.6952844010704,0.993942891056859,2.05740022743109,0.399889259442056
36,M,169.6,54.1404927112299,0.994879587344131,8.61269805267068,1.86536499295234,0.764528202402105,-11.8013698714576,0.994879587344131,5.97425473117806,1.36457546405414
37,M,186.6,90.3777449015748,0.981190405471347,13.8233266324729,3.16542017534579,0.766987891987157,-11.6762955648342,0.981190405471347,5.14605626252455,0.904780521052923
38,M,180.7,76.8189768216808,0.996171625222407,19.4517416971417,4.61608962963998,0.758973898888329,-11.5218308542358,0.996171625222407,10.8339318501465,2.1149363416747
39,F,170,63.0230422925332,0.989623847135828,10.7120797865785,2.44029329258237,0.763384059281678,-11.7217065032514,0.989623847135828,2.89953960656389,0.76280701689611
40,M,183.6,136.136570143127,0.990354973651658,9.89392685388282,2.23314812300986,0.765203598012068,-11.7728335923203,0.990354973651658,5.46496435204168,1.07525305305059
41,M,185.5,85.7784060016926,0.994370405986771,14.164932384846,3.34621192170732,0.767542560612459,-11.6688608184611,0.994370405986771,5.17632869723494,0.92056975801788
42,F,178,79.4098032781828,0.983654737241342,14.3236681434528,3.07720821659325,0.769629236225881,-11.7204626638495,0.983654737241342,8.33549456354934,1.34437484619087
43,M,179,61.0226744015572,0.995654743890118,7.88197376104133,1.90680993221666,0.760486688713567,-11.7755307339456,0.995654743890118,4.41460132643173,1.06439473838647
44,F,164.5,61.3242775674791,0.967135892919737,18.5676273355114,4.30547508722655,0.763557691873383,-11.5381715885381,0.967135892919737,8.56307373226341,1.73189076611986
45,F,163,79.0186186864614,0.994936362321492,12.4259128881408,2.79378938388599,0.758374115140036,-11.6812954269976,0.994936362321492,6.12289233568117,0.846189881781502
46,F,165,64.6102763234205,0.991622725977634,10.1371213692995,2.49787573835201,0.763191579953797,-11.734249799341,0.991622725977634,2.96758066135368,0.60578313792809
47,F,165.8,61.0617585426448,0.995502143179325,14.2275302267242,3.44339924470385,0.765795230082589,-11.643265800064,0.995502143179325,3.66757128728851,0.756486640020225
48,M,171.5,68.4202597262979,0.97260729510671,12.0367232671768,2.64808965610919,0.766238106422468,-11.7290427645513,0.97260729510671,5.64160768074435,1.07401525198005
49,M,174.5,80.6332071538085,0.99697181171869,10.2344530339816,2.28757227846111,0.766145298450613,-11.7796521846897,0.99697181171869,6.22586643682735,1.1443896874888
50,M,174.2,96.2990475091724,0.99094923717265,11.9291916610215,2.76513070173228,0.765026860392767,-11.7023287623274,0.99094923717265,3.23084762241383,0.562935237665886
51,F,169.5,65.7334424131134,0.982570011527643,11.671018535783,2.87657953960503,0.762778876497951,-11.698666725931,0.982570011527643,3.45013441033388,0.666543945228908
