sub_id,articulacion,candidato,r_crudo,r_cal,rmse_cal
37,rodilla,Koopman,0.981184722610208,0.981184722610208,6.06038299767084
38,rodilla,Koopman,0.966194433160327,0.966194433160327,6.0958881520121
39,rodilla,Koopman,0.952417140953745,0.952417140953745,8.52013522331281
40,rodilla,Koopman,0.98351509002377,0.983515090023769,4.64578763959905
41,rodilla,Koopman,0.989608663493379,0.989608663493379,7.1817483350748
42,rodilla,Koopman,0.969198398367662,0.969198398367661,5.98901908679939
1,rodilla,Zhao,-0.340665326175254,0.340665326175254,20.8671373455861
2,rodilla,Zhao,-0.426092685761263,0.426092685761263,23.377563564916
3,rodilla,Zhao,-0.295072924635774,0.295072924635774,18.4660616658647
4,rodilla,Zhao,-0.398701786296834,0.398701786296834,19.7600698324842
5,rodilla,Zhao,-0.331872455187549,0.331872455187549,18.5729698938189
6,rodilla,Zhao,-0.171199651745669,0.171199651745669,18.1435372359697
7,rodilla,Zhao,-0.414520833846427,0.414520833846427,20.458018245259
8,rodilla,Zhao,-0.400910680152253,0.400910680152253,19.2150851732713
9,rodilla,Zhao,-0.363945279749168,0.363945279749168,19.561924957654
10,rodilla,Zhao,-0.391988087234982,0.391988087234982,18.4730705194692
11,rodilla,Zhao,-0.361786626829543,0.361786626829543,16.0313037546028
12,rodilla,Zhao,-0.337668445983383,0.337668445983383,17.8941328291488
13,rodilla,Zhao,-0.278754361966467,0.278754361966467,19.3528245421206
14,rodilla,Zhao,-0.381718492524562,0.381718492524562,20.6087397989634
15,rodilla,Zhao,-0.201401394215216,0.201401394215216,19.3567096053311
16,rodilla,Zhao,-0.382186273522111,0.382186273522111,20.229816961728
17,rodilla,Zhao,-0.277983763131552,0.277983763131552,21.4938733381734
18,rodilla,Zhao,-0.393282965414331,0.393282965414331,19.9237769246835
19,rodilla,Zhao,-0.291391127645177,0.291391127645177,19.4677976677868
20,rodilla,Zhao,-0.321719659423105,0.321719659423105,19.4956846486311
21,rodilla,Zhao,-0.303226003144285,0.303226003144285,18.735436658386
22,rodilla,Zhao,-0.310578237677917,0.310578237677917,18.118625359099
23,rodilla,Zhao,-0.407571902040046,0.407571902040046,20.4180584684839
24,rodilla,Zhao,-0.185984441106208,0.185984441106208,18.919224761567
25,rodilla,Zhao,-0.279755689332957,0.279755689332957,17.9325158313138
26,rodilla,Zhao,-0.361153271574347,0.361153271574347,19.8369215725152
27,rodilla,Zhao,-0.260204663430101,0.260204663430101,20.2082056831634
28,rodilla,Zhao,-0.315431398088719,0.315431398088719,18.7888568870406
29,rodilla,Zhao,-0.147979945091741,0.147979945091741,19.2470830930674
30,rodilla,Zhao,-0.480378730818289,0.480378730818289,20.8811027229827
31,rodilla,Zhao,-0.34586642049253,0.34586642049253,17.3526307425662
32,rodilla,Zhao,-0.229671820788908,0.229671820788908,19.5714991966069
33,rodilla,Zhao,-0.307398758655757,0.307398758655757,20.3310043823732
34,rodilla,Zhao,-0.447915481104214,0.447915481104214,21.1419366112342
35,rodilla,Zhao,-0.277058940940799,0.277058940940799,23.8599487170903
36,rodilla,Zhao,-0.186272881323947,0.186272881323947,20.5372718236964
37,rodilla,Zhao,-0.15862431114037,0.15862431114037,19.2676402834306
38,rodilla,Zhao,-0.352546214928099,0.352546214928099,19.7205437898561
39,rodilla,Zhao,-0.145253618282052,0.145253618282052,19.0420234408731
40,rodilla,Zhao,-0.340684129279723,0.340684129279723,20.7824068785866
41,rodilla,Zhao,-0.265005855786087,0.265005855786087,21.3005629031689
42,rodilla,Zhao,-0.298112506018046,0.298112506018046,19.705060929983
1,tobillo,Koopman,0.733048195094272,0.733048195094272,5.31240147254881
2,tobillo,Koopman,0.800650326990553,0.800650326990553,10.3288512999324
3,tobillo,Koopman,0.810452195064927,0.810452195064927,3.72042066158592
4,tobillo,Koopman,0.668883076378077,0.668883076378077,8.03390859516388
5,tobillo,Koopman,0.832042205746814,0.832042205746815,3.79438428667788
6,tobillo,Koopman,0.749050475239342,0.749050475239342,4.46276422492456
7,tobillo,Koopman,0.797228571521904,0.797228571521905,6.42440412837398
8,tobillo,Koopman,0.76741530691015,0.767415306910149,4.70087350002139
9,tobillo,Koopman,0.756676472498287,0.756676472498287,4.9054982244021
10,tobillo,Koopman,0.726253958568347,0.726253958568347,5.23213213307831
11,tobillo,Koopman,0.381903789228519,0.381903789228519,7.93843808807888
12,tobillo,Koopman,0.748982613409409,0.748982613409409,5.33603463368994
13,tobillo,Koopman,0.529399380257898,0.529399380257898,5.79198529037964
