frame,t_s,cadera_y_mm,cadera_z_mm,rodilla_y_mm,rodilla_z_mm,tobillo_y_mm,tobillo_z_mm
416,4.16,-674.6017,874.5608,-595.944,454.62,-649.7788,25.481636
417,4.17,-664.1754,875.6307,-593.511,454.489,-650.0934,25.737085
418,4.18,-653.9111,876.7128,-590.879,454.693,-649.8999,26.16834
419,4.19,-644.32074,877.33655,-588.354,454.658,-650.03546,26.486753
420,4.2,-633.9148,878.03595,-586.242,454.67,-649.82996,26.411215
421,4.21,-623.80743,878.66534,-583.719,454.747,-649.8225,26.628664
422,4.22,-613.0761,879.0809,-580.576,454.569,-650.4334,26.70453
423,4.23,-602.87177,879.11285,-577.755,454.32,-650.5236,26.734753
424,4.24,-592.02466,878.8859,-574.871,454.013,-650.4804,26.904177
425,4.25,-581.24756,878.84894,-571.693,454.135,-651.4742,27.379757
426,4.26,-570.4459,878.5331,-568.467,454.014,-651.37054,27.433983
427,4.27,-559.6142,878.0609,-564.616,453.986,-651.46716,27.76664
428,4.28,-547.88086,877.16547,-561.49,453.523,-651.39374,28.149872
429,4.29,-536.4581,876.5526,-556.348,453.425,-651.693,28.571367
430,4.3,-525.22943,875.67737,-552.081,453.184,-651.4959,28.890411
431,4.31,-513.8561,874.6665,-546.84,452.751,-651.3919,29.305819
432,4.32,-502.5776,873.4161,-541.429,452.134,-651.6,29.647202
433,4.33,-490.86862,871.9137,-535.741,451.522,-651.6278,30.273907
434,4.34,-479.13293,870.4331,-529.081,450.727,-651.432,30.802309
435,4.35,-466.9633,868.78894,-522.663,449.977,-651.40607,31.67621
436,4.36,-454.85648,867.01227,-515.14,448.921,-651.52045,32.61604
437,4.37,-442.32077,865.02386,-507.837,447.932,-651.15173,33.647816
438,4.38,-429.39682,862.9065,-499.622,446.814,-650.6616,34.838757
439,4.39,-416.32422,860.8226,-490.184,445.577,-649.8709,36.426464
440,4.4,-403.18964,858.529,-480.983,444.173,-649.86865,38.472378
441,4.41,-389.92572,856.27386,-471.43,442.98,-649.55756,40.93841
442,4.42,-376.12018,854.1452,-461.194,441.869,-649.08984,43.787453
443,4.43,-363.31934,851.8174,-450.824,440.519,-648.27454,46.95757
444,4.44,-349.841,849.8949,-439.961,439.241,-647.9318,50.764122
445,4.45,-334.8626,848.2976,-427.363,438.503,-646.51044,54.96376
446,4.46,-321.39468,846.3499,-415.719,437.05,-645.2812,59.8283
447,4.47,-306.30444,844.87787,-402.158,435.687,-643.56134,65.19882
448,4.48,-290.76703,843.5156,-387.802,434.433,-641.3341,71.00384
449,4.49,-275.41333,841.93866,-372.499,432.433,-638.7526,78.03091
450,4.5,-259.68994,840.7297,-356.18,431.037,-635.25946,86.01717
451,4.51,-244.01166,839.6385,-337.863,429.354,-630.1788,94.999504
452,4.52,-228.2085,838.90955,-317.377,427.515,-624.1761,105.6068
453,4.53,-212.28932,837.8641,-295.392,425.818,-616.2911,117.94069
454,4.54,-196.3278,837.15094,-270.838,424.107,-606.3392,131.66327
455,4.55,-181.50702,835.97687,-244.633,421.707,-593.9896,146.18088
456,4.56,-166.80307,834.85675,-217.135,419.702,-578.4474,160.17537
457,4.57,-152.31972,833.78503,-188.51,417.598,-559.86115,173.29506
458,4.58,-138.80873,832.61584,-159.854,415.776,-538.69055,185.81966
459,4.59,-125.49974,831.74976,-130.921,415.27,-514.9886,198.04132
460,4.6,-112.48736,831.4156,-102.285,415.12,-489.88043,208.43532
461,4.61,-99.66121,831.7697,-74.2864,416.095,-466.44852,217.06247
462,4.62,-87.15635,832.61487,-46.963,418.176,-442.83633,225.18625
463,4.63,-74.23129,834.15717,-20.4666,421.949,-417.4404,232.14162
464,4.64,-61.535984,836.6014,5.80139,426.179,-390.77542,237.33443
465,4.65,-48.852417,838.95123,31.805,430.622,-362.9911,238.77945
466,4.66,-35.08552,841.7875,57.7811,435.515,-334.01093,237.07675
467,4.67,-22.108976,844.72125,82.5227,440.983,-304.39017,232.9904
468,4.68,-8.843,848.17786,107.244,446.487,-274.56827,227.61238
469,4.69,3.9001472,851.0993,131.105,451.894,-243.48672,220.19556
470,4.7,16.583628,853.94995,154.087,457.28,-211.83554,211.95866
471,4.71,29.83598,856.4063,175.69,462.436,-179.5877,202.64633
472,4.72,41.852062,858.31525,196.98,467.534,-146.55872,192.29779
473,4.73,53.546173,860.5675,217.09,473.435,-112.140434,180.6357
474,4.74,65.39283,861.83295,236.467,477.812,-76.84066,168.1967
475,4.75,76.13226,862.9198,256.422,482.204,-40.435226,155.10107
476,4.76,86.37207,863.59906,276.131,486.656,-3.14411,142.07481
477,4.77,98.193565,864.15436,292.523,489.663,35.5792,129.00476
478,4.78,109.08243,864.27747,310.412,492.466,74.89519,116.10477
479,4.79,120.72125,864.06946,327.187,494.32,114.71617,104.07689
480,4.8,132.02684,863.6415,343.391,495.519,154.954,92.84704
481,4.81,144.49364,863.1678,358.677,495.804,195.42776,82.45084
482,4.82,156.63231,861.8926,373.355,495.262,236.60056,72.52552
483,4.83,168.97969,859.8939,388.26,493.98,278.64307,63.442142
484,4.84,181.17528,858.7375,400.477,492.118,320.32486,55.681812
485,4.85,193.98222,856.8789,412.335,489.537,362.26294,49.156055
486,4.86,207.04266,855.045,423.417,486.057,404.01517,43.87902
487,4.87,219.86432,853.0113,433.661,481.977,445.41638,40.33589
488,4.88,232.693,850.2725,444.192,477.715,484.52872,38.49964
489,4.89,246.08493,847.979,452.816,472.692,521.73456,38.02623
490,4.9,259.8095,845.90515,462.178,467.652,558.9813,39.23508
491,4.91,273.89163,844.0676,470.933,462.727,592.0562,41.274044
492,4.92,288.15692,841.95325,480.183,458.385,621.092,43.635838
493,4.93,302.56674,839.95233,490.505,454.388,646.68823,45.576103
494,4.94,317.0901,838.3429,502.26904,451.49,667.2616,45.854687
495,4.95,330.78134,836.8538,515.631,449.846,684.5258,45.039333
496,4.96,344.51007,835.794,532.356,449.882,696.37054,42.29126
497,4.97,358.61014,835.1479,550.131,450.941,705.5273,39.26972
498,4.98,373.4233,834.9199,568.737,452.209,710.8563,35.43226
499,4.99,388.11322,834.49023,586.272,453.164,714.1903,31.214045
500,5.0,402.97726,833.78766,603.024,453.252,714.84247,26.655245
501,5.01,418.06445,833.28894,618.59,452.822,713.73395,22.607716
502,5.02,433.30103,832.9617,632.664,452.045,713.3864,22.115189
503,5.03,448.16385,833.5021,644.59,452.061,720.46747,24.52255
504,5.04,463.51434,835.4573,660.31,453.107,732.39355,26.15146
505,5.05,479.2537,837.9628,674.659,454.054,738.3024,26.19339
506,5.06,493.67297,840.0438,685.607,455.044,740.1954,25.38992
507,5.07,507.06076,841.9897,696.686,456.462,739.6847,25.6399
508,5.08,519.4732,843.53174,707.994,458.434,738.9037,26.331055
509,5.09,532.49896,845.7741,720.127,460.402,738.91547,27.436934
510,5.1,545.74146,847.7256,730.874,461.667,740.1735,28.180912
511,5.11,559.3998,850.1128,740.224,462.372,740.09314,28.535643
512,5.12,573.1598,852.4215,748.646,462.424,740.3446,29.128922
513,5.13,586.22345,854.53143,756.262,462.188,740.62366,29.6585
514,5.14,598.92413,856.85187,762.895,461.974,740.7039,29.978752
515,5.15,610.7761,859.0949,768.423,461.649,740.23285,30.339916
516,5.16,622.9384,861.52496,773.892,461.536,739.60645,30.873865
517,5.17,634.4192,864.255,777.972,461.572,739.04584,31.345978
518,5.18,645.5957,866.75836,781.556,461.749,738.2242,32.00393
519,5.19,656.4866,869.1589,784.819,461.761,737.31506,32.4833
520,5.2,666.8753,871.2084,787.734,461.587,736.77594,32.654877
521,5.21,677.28955,873.13934,790.696,461.581,736.255,32.86303
522,5.22,687.94684,875.1539,793.636,461.63,736.41724,33.0086
523,5.23,697.9587,876.7437,796.373,461.585,736.66925,33.083824
524,5.24,708.3855,878.385,799.592,461.808,736.06726,33.46236
525,5.25,718.47345,879.68713,802.093,461.811,735.96747,33.689777
526,5.26,728.7346,880.9185,805.2,461.696,735.7374,33.87857
527,5.27,738.56256,882.00775,807.884,461.782,735.99994,34.00434
528,5.28,748.9664,883.1011,810.245,461.896,736.177,34.017467
529,5.29,758.4287,883.6232,813.351,461.565,735.9459,34.05031
530,5.3,768.77606,884.1878,816.389,461.413,735.8111,34.24721
531,5.31,778.9911,884.69824,818.92,461.425,735.59644,34.51221
532,5.32,790.2947,885.02075,821.165,461.328,735.3861,34.732327
533,5.33,799.80695,884.8307,824.701,460.975,735.28284,34.946186
534,5.34,811.4312,884.81647,826.975,460.506,734.9193,35.164265
535,5.35,820.0809,884.3735,830.882,460.395,735.46716,35.44894
536,5.36,830.61176,883.96606,835.165,460.086,735.3348,36.04539
537,5.37,841.3017,883.479,838.961,459.95,735.9173,36.41259
538,5.38,851.40686,882.8286,843.49,459.683,736.435,36.778584
539,5.39,862.4387,882.0608,848.409,459.141,735.9356,37.1623
540,5.4,873.3334,881.20905,853.181,458.878,736.4478,37.74365
541,5.41,884.9313,880.1213,858.405,458.138,736.5075,38.15686
542,5.42,896.43134,878.9508,864.231,457.409,736.41003,38.868347
543,5.43,907.97,877.5989,870.343,456.614,736.3477,39.768387
544,5.44,919.473,876.2412,876.497,455.942,736.6006,40.773804
545,5.45,931.2968,874.6832,883.149,455.129,736.7141,42.030853
546,5.46,943.2446,873.1879,889.935,454.277,737.22296,43.21941
547,5.47,955.98724,871.6529,897.35,453.676,737.43036,44.994873
548,5.48,967.86206,869.9917,905.029,452.826,737.7168,46.910324
549,5.49,980.64435,868.2627,913.535,452.042,737.8653,49.156906
550,5.5,993.3254,866.72455,922.007,451.383,738.3621,51.554638
551,5.51,1006.39795,865.0179,930.625,450.81,738.91095,54.48275
552,5.52,1019.51697,863.57104,940.432,449.876,739.1579,57.795815
553,5.53,1032.5768,862.1674,950.67,448.868,739.848,61.353046
554,5.54,1046.2688,860.61035,961.641,447.894,741.0804,65.18158
555,5.55,1060.3633,858.94934,973.525,446.528,742.27203,69.582146
