sub_id,rx_Koopman,rx_Zhao_izq,rx_Zhao_der,rx_Yun_R,rx_Yun_L,ry_Koopman,ry_Zhao_izq,ry_Zhao_der,ry_Yun_R,ry_Yun_L
101809,0.915858756939554,0.95432313510659,-0.839743078367479,0.883613077041421,-0.979238176132424,0.859627500540394,0.76141897980011,-0.610657979172283,-0.782042332863599,0.581208724031075
100817,0.936763808603385,0.937383529440429,-0.817531423933169,0.860885693644248,-0.977137928854804,0.931370025724702,0.704927914047428,-0.436748104369929,-0.658702740593582,0.618582242216632
101500,0.938461525058416,0.9366798228749,-0.834858744586214,0.888186564057966,-0.977865298394986,0.870854954456923,0.792035246455897,-0.525892188908782,-0.681526025991259,0.699119277895606
200295,0.816681794445439,0.993909392034685,-0.893148938789294,0.895337835251231,-0.990794484202278,0.389714562562055,0.973844353245031,-0.460544903425428,-0.510423221737864,0.809958001221159
100511,0.981927561874089,0.953711572904822,-0.878641509211519,0.919519381060589,-0.992372418339969,0.915305473340689,0.782722771745075,-0.555854902972109,-0.750719508246797,0.589404809690871
100682,0.996079362899987,0.900285220300901,-0.832601317976386,0.898273479193651,-0.966418770553281,0.821580486727547,0.813113107909933,-0.69999902292254,-0.786747743769838,0.653132050799288
101264,0.974700359390206,0.951970395962584,-0.88740177711806,0.927017004142357,-0.992207894967933,0.877922999290701,0.862061058974097,-0.467692323456461,-0.622868098733255,0.748205409077361
100899,0.982926690579636,0.936532716673192,-0.849363354011798,0.899337077751937,-0.983815208168901,0.934142744718349,0.773183831654853,-0.531243185878945,-0.717192803270865,0.644284592148267
100850,0.794598624713158,0.984381080845318,-0.886100605194061,0.842908857258395,-0.951011007484826,0.435582162607043,0.926343986164072,-0.470391830873495,-0.547429481666524,0.680285778753623
101498,0.951388006508627,0.961011739906124,-0.846356811448014,0.884484910329282,-0.983376501813925,0.704173343837155,0.885134580269732,-0.486780760551862,-0.50052783341064,0.876133550704586
101393,0.978271553036652,0.939813795854856,-0.862869633001018,0.911198738193391,-0.986451250918329,0.859854015400305,0.828886549864185,-0.59225529693381,-0.738235083438486,0.664866068076135
101407,0.977482800966539,0.940104991081001,-0.869084352426183,0.918181524350638,-0.986641393657449,0.859166488396887,0.829569257947473,-0.593627330805037,-0.711844707957256,0.709047692096368
100254,0.971558546393142,0.94627868298903,-0.855921070284059,0.902649202953101,-0.987436707287566,0.856661401775821,0.820765484978581,-0.623733452088501,-0.751777593787069,0.677750199818725
101035,0.942441087330475,0.97523963681489,-0.889743765622284,0.916067577203088,-0.996742447955092,0.827735375634814,0.821834729531459,-0.590378408609972,-0.766141356757394,0.610339044258276
100518,0.936345930538749,0.977289537995473,-0.888264858171452,0.914149480192003,-0.995248070071576,0.794486661411187,0.863061829531925,-0.60803186394806,-0.750033898078646,0.6600713273343
100834,0.995329531500883,0.840079356971582,-0.770862390863471,0.863839577085574,-0.922642801498466,0.96217234715612,0.507817952734732,-0.554504823690163,-0.676170369368603,0.498569510429488
100532,0.922743521998868,0.980187630525461,-0.91182524167919,0.926772414727921,-0.999094551167701,0.67181591818206,0.843266212310668,-0.621918593795139,-0.762176831380042,0.590440992062286
100727,0.945154297592432,0.968471343293606,-0.88140247675275,0.912675415013914,-0.995721595822424,0.78611554973576,0.913274838692881,-0.471925134478065,-0.586773138472728,0.83388663964754
102002,0.929830958852333,0.978264469523384,-0.887685191520561,0.909834683438695,-0.997206651984613,0.883428090324432,0.843114687634654,-0.412213483859784,-0.597273049031171,0.748287989026452
100732,0.929567336304299,0.975451368898369,-0.89578082914233,0.919823590454756,-0.99809041275632,0.690303607888935,0.879396137101516,-0.613632355312107,-0.734400184746488,0.660508528925511
100991,0.964818420142715,0.937028820546984,-0.883523343223391,0.926480076547849,-0.987604030736734,0.881973828271126,0.812088793101288,-0.490906284008465,-0.676849861901192,0.688674797297023
101339,0.924573070559177,0.97450578349647,-0.903396633854759,0.924735034292711,-0.998641817336486,0.496376243124992,0.919088668368321,-0.550702424221088,-0.572856520411096,0.776975677098964
100320,0.979812867781725,0.909619317667453,-0.834056775654675,0.891602299127847,-0.971890673537078,0.936822615195726,0.706154159417771,-0.51444512412794,-0.726432302273444,0.590406599368734
100755,0.88266304593794,0.979827571591093,-0.877538566074886,0.90058065458127,-0.992262267780295,0.613817525675659,0.900050256320623,-0.620933955860292,-0.698362964566477,0.72665789887401
