sub_id,talla_cm,dentro_rango,r_x_sinCorr,rmse_x_sinCorr,r_y_sinCorr,rmse_y_sinCorr,r_x_conCorr,rmse_x_conCorr,r_y_conCorr,rmse_y_conCorr
100850,161,1,0.794346635437591,6.15424139021197,0.42045870843579,1.88013413030585,0.722064832870133,10.1707411847765,0.0580069329981533,6.59320518884496
101498,163,1,0.95054316433467,3.55578862341983,0.747383083248443,1.16292982395403,0.564951023507455,11.828436674336,-0.331472653245412,6.81976328904133
101393,163.5,1,0.978134014974556,2.83238719349604,0.840543869576422,1.27258063529617,0.597785841477281,12.3619707168028,-0.247838176967629,8.02894754655673
101407,164.5,1,0.977452155772111,3.2895572438213,0.854207908603372,1.0036437607483,0.594536523341006,12.9691736127061,-0.259647304816947,7.8479498676146
100254,165,1,0.971054976203062,2.75252830404866,0.845298998235671,0.955801481682357,0.589173467326336,11.9977636732562,-0.248814944371973,7.75998748651612
101035,165.5,1,0.942297872261285,3.31885942254361,0.793936110610323,1.87907467120031,0.632250654714868,11.2656105455091,-0.204619336907574,8.45858641715154
100518,167,1,0.936172832058353,4.25691363443895,0.770130884515975,1.80310038161953,0.615519401845329,12.8304411825102,-0.204227585257519,8.37155297980863
100834,168,1,0.994994490532251,2.95656680688917,0.963298363821057,0.785416572133524,0.474131874660078,13.7064548744973,-0.521646935962637,8.29495529307403
100532,169,1,0.923027707667327,4.43925052627277,0.637771733027588,2.77485099502598,0.675821108349836,12.5825014506371,-0.0328449719657285,8.6023495551003
100727,170,1,0.944965077386334,3.9733782034545,0.795608252492448,0.972500120878296,0.623733322291683,12.8487783289695,-0.279239154234633,7.76618399982466
102002,170,1,0.929676969870321,3.78780258066608,0.872185495899202,1.07831261798358,0.636267447981388,11.4727115947631,-0.360100711417757,8.26481363671268
100732,171.5,1,0.929519705757474,3.59184315143043,0.667622748587425,1.17318043223246,0.635452355436034,10.4515227527723,-0.109821179910322,7.41764377856884
100991,173,1,0.965168073070411,5.00930851539835,0.863078175977389,2.72749843076976,0.629220626145552,14.962112932626,-0.303684303836318,9.7230498574435
101339,175,1,0.924863518242697,5.35737079588894,0.50995568842956,1.87712863222284,0.646795250822583,14.3157278219468,-0.0303822086975236,7.09383161120682
100320,176.7,1,0.979637923483079,3.10467119005249,0.911911742686964,2.12594855804599,0.604418906742997,13.5456306715157,-0.353448584920848,9.44312978532466
