sub_id,talla_cm,r_v0_crudo,rmse_v0,r_v1_calibLOSO,rmse_v1,r_v2_pipeline_menosXh,rmse_v2,r_v3_full_vs_global,r_v3_full_vs_relhip
100511,150,0.981927561874089,1.96293421530878,0.981826143353782,2.78306270381856,0.394300920919659,21.8336686894906,0.38779062584388,0.392534333399484
100682,155.9,0.996079362899987,1.03325161911342,0.996007465854093,3.01823363281563,0.474036375280484,22.4088231612832,0.282595448308728,0.297515543372652
101264,158,0.974700359390206,2.89661681260575,0.974917684054418,4.78516454659379,0.385267616681798,22.7285869176611,0.358300280206236,0.385395483968988
100899,159,0.982926690579636,2.075194997408,0.982473935617938,3.80241035423453,0.418477801457591,23.5826556438816,0.32057319668523,0.353286604433139
100850,161,0.794598624713158,7.39240782192019,0.794346635437591,6.15424139021197,0.0377251585298315,28.5308082576437,0.597681901330663,0.648786381980508
101498,163,0.951388006508626,4.02691686480877,0.95054316433467,3.55578862341983,0.384060789100502,26.5511560265561,0.352317193521039,0.374338472028632
101393,163.5,0.978271553036652,2.51503820529133,0.978134014974556,2.83238719349604,0.40876903566363,25.1599379851416,0.339229937145515,0.356082146555502
101407,164.5,0.977482800966539,2.44988045958518,0.977452155772111,3.2895572438213,0.407974333125265,25.0739133806703,0.333018451375797,0.35560475114449
100254,165,0.971558546393142,3.03676830604866,0.971054976203062,2.75252830404866,0.397833997243984,25.908726585641,0.330985231731496,0.365152459947106
101035,165.5,0.942441087330475,4.25547643642196,0.942297872261285,3.31885942254361,0.312939591880317,26.7903647737662,0.443576140295293,0.442431965531326
100518,167,0.936345930538749,4.14357361524096,0.936172832058353,4.25691363443895,0.317489266453798,26.7974391156331,0.408480299934517,0.434154477304881
100834,168,0.995329531500883,1.30391313787025,0.994994490532251,2.95656680688917,0.565609182112133,24.605918351142,0.103179412209765,0.175965689313151
100532,169,0.922743521998868,4.5835226707193,0.923027707667327,4.43925052627277,0.254446047511654,27.1223563064926,0.486599824986739,0.489835213078627
100727,170,0.945154297592432,3.95827459208719,0.944965077386334,3.9733782034545,0.328097085377641,27.3629106903091,0.423144733996672,0.423851508746909
102002,170,0.929830958852333,4.84940735642427,0.929676969870321,3.78780258066608,0.294623208767115,28.3869611725398,0.386794502923144,0.452494274838022
100732,171.5,0.929567336304299,5.39953421004908,0.929519705757474,3.59184315143043,0.295951823229391,28.7143846412405,0.402376186633604,0.449314385040668
100991,173,0.964818420142715,3.46254421260627,0.965168073070411,5.00930851539835,0.368745416370996,26.2709421663107,0.360709497029512,0.381212403215949
101339,175,0.924573070559177,4.78281978880419,0.924863518242697,5.35737079588894,0.289852847132914,28.4038755378554,0.442554517924077,0.449817265147961
100320,176.7,0.979812867781725,2.6718339741548,0.979637923483079,3.10467119005249,0.410553011168008,28.2489402217378,0.277297659696514,0.338811970251773
100755,187.5,0.88266304593794,7.84199554210283,0.882526552230061,5.39632078865418,0.290503128740356,33.7371116023079,0.421307238702064,0.425396233694311
